pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
5-Phosphoribose 1-diphosphate biosynthesis	0.8916349809885932	0.9566143232335468	0.42673778963160525	0.6661737969970098	468	2	328099
5-Phosphoribose 1-diphosphate biosynthesis	0.8916349809885932	0.9566143232335468	0.42673778963160525	0.6661737969970098	468	2	19139
A tetrasaccharide linker sequence is required for GAG synthesis	0.6934306569343066	0.8804664312942202	0.3218180429249176	0.826521597407669	379	11	14733
A tetrasaccharide linker sequence is required for GAG synthesis	0.6934306569343066	0.8804664312942202	0.3218180429249176	0.826521597407669	379	11	20971
A tetrasaccharide linker sequence is required for GAG synthesis	0.6934306569343066	0.8804664312942202	0.3218180429249176	0.826521597407669	379	11	20970
A tetrasaccharide linker sequence is required for GAG synthesis	0.6934306569343066	0.8804664312942202	0.3218180429249176	0.826521597407669	379	11	12032
A tetrasaccharide linker sequence is required for GAG synthesis	0.6934306569343066	0.8804664312942202	0.3218180429249176	0.826521597407669	379	11	29873
A tetrasaccharide linker sequence is required for GAG synthesis	0.6934306569343066	0.8804664312942202	0.3218180429249176	0.826521597407669	379	11	218271
A tetrasaccharide linker sequence is required for GAG synthesis	0.6934306569343066	0.8804664312942202	0.3218180429249176	0.826521597407669	379	11	13179
Abacavir metabolism	0.32224532224532226	0.6823268366803987	-0.6275240001172908	-1.126847713255672	154	3	11522
Abacavir metabolism	0.32224532224532226	0.6823268366803987	-0.6275240001172908	-1.126847713255672	154	3	75894
Abacavir transmembrane transport	0.7289915966386554	0.8906054312229198	-0.513002167027838	-0.8101378395644558	346	2	20518
Abacavir transmembrane transport	0.7289915966386554	0.8906054312229198	-0.513002167027838	-0.8101378395644558	346	2	20519
Abacavir transport and metabolism	0.35403726708074534	0.7110759493670886	-0.5124871256534367	-1.0961609134248629	170	5	11522
Abacavir transport and metabolism	0.35403726708074534	0.7110759493670886	-0.5124871256534367	-1.0961609134248629	170	5	75894
Abacavir transport and metabolism	0.35403726708074534	0.7110759493670886	-0.5124871256534367	-1.0961609134248629	170	5	20518
Abasic sugar-phosphate removal via the single-nucleotide replacement pathway	0.4834710743801653	0.7775459760605496	-0.7613134427868989	-1.0195043941555455	233	1	18970
ABC transporters in lipid homeostasis	0.22787610619469026	0.5937356338351913	-0.43853846672944763	-1.2501202874706623	102	12	19299
ABC transporters in lipid homeostasis	0.22787610619469026	0.5937356338351913	-0.43853846672944763	-1.2501202874706623	102	12	27403
ABC transporters in lipid homeostasis	0.22787610619469026	0.5937356338351913	-0.43853846672944763	-1.2501202874706623	102	12	11307
ABC transporters in lipid homeostasis	0.22787610619469026	0.5937356338351913	-0.43853846672944763	-1.2501202874706623	102	12	11806
ABC transporters in lipid homeostasis	0.22787610619469026	0.5937356338351913	-0.43853846672944763	-1.2501202874706623	102	12	217265
ABC transporters in lipid homeostasis	0.22787610619469026	0.5937356338351913	-0.43853846672944763	-1.2501202874706623	102	12	27409
ABC transporters in lipid homeostasis	0.22787610619469026	0.5937356338351913	-0.43853846672944763	-1.2501202874706623	102	12	27410
ABC transporters in lipid homeostasis	0.22787610619469026	0.5937356338351913	-0.43853846672944763	-1.2501202874706623	102	12	56535
ABC-family proteins mediated transport	0.3147286821705426	0.6746769902260126	0.27710111609245064	1.0976834097486619	202	67	56199
ABC-family proteins mediated transport	0.3147286821705426	0.6746769902260126	0.27710111609245064	1.0976834097486619	202	67	17463
ABC-family proteins mediated transport	0.3147286821705426	0.6746769902260126	0.27710111609245064	1.0976834097486619	202	67	26440
ABC-family proteins mediated transport	0.3147286821705426	0.6746769902260126	0.27710111609245064	1.0976834097486619	202	67	26444
ABC-family proteins mediated transport	0.3147286821705426	0.6746769902260126	0.27710111609245064	1.0976834097486619	202	67	19179
ABC-family proteins mediated transport	0.3147286821705426	0.6746769902260126	0.27710111609245064	1.0976834097486619	202	67	228769
ABC-family proteins mediated transport	0.3147286821705426	0.6746769902260126	0.27710111609245064	1.0976834097486619	202	67	56325
ABC-family proteins mediated transport	0.3147286821705426	0.6746769902260126	0.27710111609245064	1.0976834097486619	202	67	26445
ABC-family proteins mediated transport	0.3147286821705426	0.6746769902260126	0.27710111609245064	1.0976834097486619	202	67	57296
ABC-family proteins mediated transport	0.3147286821705426	0.6746769902260126	0.27710111609245064	1.0976834097486619	202	67	19170
ABC-family proteins mediated transport	0.3147286821705426	0.6746769902260126	0.27710111609245064	1.0976834097486619	202	67	26905
ABC-family proteins mediated transport	0.3147286821705426	0.6746769902260126	0.27710111609245064	1.0976834097486619	202	67	74610
ABC-family proteins mediated transport	0.3147286821705426	0.6746769902260126	0.27710111609245064	1.0976834097486619	202	67	67151
ABC-family proteins mediated transport	0.3147286821705426	0.6746769902260126	0.27710111609245064	1.0976834097486619	202	67	26442
ABC-family proteins mediated transport	0.3147286821705426	0.6746769902260126	0.27710111609245064	1.0976834097486619	202	67	19177
ABC-family proteins mediated transport	0.3147286821705426	0.6746769902260126	0.27710111609245064	1.0976834097486619	202	67	216440
ABC-family proteins mediated transport	0.3147286821705426	0.6746769902260126	0.27710111609245064	1.0976834097486619	202	67	16514
ABC-family proteins mediated transport	0.3147286821705426	0.6746769902260126	0.27710111609245064	1.0976834097486619	202	67	66753
ABC-family proteins mediated transport	0.3147286821705426	0.6746769902260126	0.27710111609245064	1.0976834097486619	202	67	18671
ABC-family proteins mediated transport	0.3147286821705426	0.6746769902260126	0.27710111609245064	1.0976834097486619	202	67	23996
ABC-family proteins mediated transport	0.3147286821705426	0.6746769902260126	0.27710111609245064	1.0976834097486619	202	67	19192
