pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
Activated NOTCH1 Transmits Signal to the Nucleus	0.004073319755600814	0.04962894248608535	-0.7627882139284856	-1.8313928164625939	1	7	14357
Activated NOTCH1 Transmits Signal to the Nucleus	0.004073319755600814	0.04962894248608535	-0.7627882139284856	-1.8313928164625939	1	7	18128
Activated NOTCH1 Transmits Signal to the Nucleus	0.004073319755600814	0.04962894248608535	-0.7627882139284856	-1.8313928164625939	1	7	74198
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	58801
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	14958
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	97165
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	22352
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	12043
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	14103
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	269582
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	227753
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	12367
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	13511
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	14940
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	14942
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	12018
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	12125
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	14944
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	11783
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	22628
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	22627
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	14939
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	14941
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	50708
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	14943
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	21872
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	19057
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	68097
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	12028
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	21873
Apoptosis	0.0015408320493066256	0.0291934955800502	0.5157592606784384	2.071627797376112	0	71	16906
Attenuation phase	0.013215859030837005	0.1164224575656463	-0.6677045068985535	-1.8454164387708725	5	11	15511
Attenuation phase	0.013215859030837005	0.1164224575656463	-0.6677045068985535	-1.8454164387708725	5	11	193740
Attenuation phase	0.013215859030837005	0.1164224575656463	-0.6677045068985535	-1.8454164387708725	5	11	15516
Attenuation phase	0.013215859030837005	0.1164224575656463	-0.6677045068985535	-1.8454164387708725	5	11	15499
Attenuation phase	0.013215859030837005	0.1164224575656463	-0.6677045068985535	-1.8454164387708725	5	11	56351
Attenuation phase	0.013215859030837005	0.1164224575656463	-0.6677045068985535	-1.8454164387708725	5	11	68196
Cell Cycle	0.0012239902080783353	0.0291934955800502	0.527076572922208	2.6426746713065654	0	408	66336
Cell Cycle	0.0012239902080783353	0.0291934955800502	0.527076572922208	2.6426746713065654	0	408	66977
Cell Cycle	0.0012239902080783353	0.0291934955800502	0.527076572922208	2.6426746713065654	0	408	15366
Cell Cycle	0.0012239902080783353	0.0291934955800502	0.527076572922208	2.6426746713065654	0	408	12442
Cell Cycle	0.0012239902080783353	0.0291934955800502	0.527076572922208	2.6426746713065654	0	408	107995
Cell Cycle	0.0012239902080783353	0.0291934955800502	0.527076572922208	2.6426746713065654	0	408	66442
Cell Cycle	0.0012239902080783353	0.0291934955800502	0.527076572922208	2.6426746713065654	0	408	12571
Cell Cycle	0.0012239902080783353	0.0291934955800502	0.527076572922208	2.6426746713065654	0	408	12428
Cell Cycle	0.0012239902080783353	0.0291934955800502	0.527076572922208	2.6426746713065654	0	408	52276
Cell Cycle	0.0012239902080783353	0.0291934955800502	0.527076572922208	2.6426746713065654	0	408	54392
Cell Cycle	0.0012239902080783353	0.0291934955800502	0.527076572922208	2.6426746713065654	0	408	66311
Cell Cycle	0.0012239902080783353	0.0291934955800502	0.527076572922208	2.6426746713065654	0	408	215387
Cell Cycle	0.0012239902080783353	0.0291934955800502	0.527076572922208	2.6426746713065654	0	408	67629
Cell Cycle	0.0012239902080783353	0.0291934955800502	0.527076572922208	2.6426746713065654	0	408	54124
Cell Cycle	0.0012239902080783353	0.0291934955800502	0.527076572922208	2.6426746713065654	0	408	12649
Cell Cycle	0.0012239902080783353	0.0291934955800502	0.527076572922208	2.6426746713065654	0	408	72415
